Date,Entity,Value
2021-01-04,PORTFOLIO,10505.314489937431
2021-01-05,PORTFOLIO,10652.159461296025
2021-01-06,PORTFOLIO,10816.45315919922
2021-01-07,PORTFOLIO,10998.008257642516
2021-01-08,PORTFOLIO,11031.231487905154
2021-01-11,PORTFOLIO,11050.231690524042
2021-01-12,PORTFOLIO,11116.168411982635
2021-01-13,PORTFOLIO,11123.599651601615
2021-01-14,PORTFOLIO,11165.106663570772
2021-01-15,PORTFOLIO,11009.06027735897
2021-01-19,PORTFOLIO,11121.586272207789
2021-01-20,PORTFOLIO,11207.587728390523
2021-01-21,PORTFOLIO,11128.245385681204
2021-01-22,PORTFOLIO,11077.650169669376
2021-01-25,PORTFOLIO,11080.699758170093
2021-01-26,PORTFOLIO,11005.465666357632
2021-01-27,PORTFOLIO,10748.764688135836
2021-01-28,PORTFOLIO,10872.642929238853
2021-01-29,PORTFOLIO,10643.909233627544
2021-02-01,PORTFOLIO,10783.91946335415
2021-02-02,PORTFOLIO,10925.422841801557
2021-02-03,PORTFOLIO,11009.87126758154
2021-02-04,PORTFOLIO,11152.329875823521
2021-02-05,PORTFOLIO,11179.981352250175
2021-02-08,PORTFOLIO,11344.7706093408
2021-02-09,PORTFOLIO,11320.609288175096
2021-02-10,PORTFOLIO,11363.759805348607
2021-02-11,PORTFOLIO,11354.39465100944
2021-02-12,PORTFOLIO,11451.099349482798
2021-02-16,PORTFOLIO,11515.687747333564
2021-02-17,PORTFOLIO,11549.902579685984
2021-02-18,PORTFOLIO,11448.48256020182
2021-02-19,PORTFOLIO,11478.874758327582
2021-02-22,PORTFOLIO,11505.966489562708
2021-02-23,PORTFOLIO,11550.64998059235
2021-02-24,PORTFOLIO,11754.20041446614
2021-02-25,PORTFOLIO,11503.712112060928
2021-02-26,PORTFOLIO,11385.638004755661
2021-03-01,PORTFOLIO,11674.213891508216
2021-03-02,PORTFOLIO,11591.030406770355
2021-03-03,PORTFOLIO,11524.78298348937
2021-03-04,PORTFOLIO,11443.179365277809
2021-03-05,PORTFOLIO,11703.587835753853
2021-03-08,PORTFOLIO,11663.779478364728
2021-03-09,PORTFOLIO,11728.011515294538
2021-03-10,PORTFOLIO,11845.862793812756
2021-03-11,PORTFOLIO,11928.930201521795
2021-03-12,PORTFOLIO,11949.404214348779
2021-03-15,PORTFOLIO,11964.633345367181
2021-03-16,PORTFOLIO,11885.033608828957
2021-03-17,PORTFOLIO,11916.987223521483
2021-03-18,PORTFOLIO,11716.550258558955
2021-03-19,PORTFOLIO,11686.96206396561
2021-03-22,PORTFOLIO,11719.39437145534
2021-03-23,PORTFOLIO,11595.622863992188
2021-03-24,PORTFOLIO,11619.638592792331
2021-03-25,PORTFOLIO,11688.666045019172
2021-03-26,PORTFOLIO,11924.524349801999
2021-03-29,PORTFOLIO,11872.933435069139
2021-03-30,PORTFOLIO,11818.971331556604
2021-03-31,PORTFOLIO,11836.646167855242
2021-04-01,PORTFOLIO,11992.223951594038
2021-04-05,PORTFOLIO,12054.488663134609
2021-04-06,PORTFOLIO,12022.280744124097
2021-04-07,PORTFOLIO,12052.593263004352
2021-04-08,PORTFOLIO,12071.89228658215
2021-04-09,PORTFOLIO,12144.002958615582
2021-04-12,PORTFOLIO,12126.921718503969
2021-04-13,PORTFOLIO,12146.90064200321
2021-04-14,PORTFOLIO,12194.742578209545
2021-04-15,PORTFOLIO,12282.680169152078
2021-04-16,PORTFOLIO,12306.548300747325
2021-04-19,PORTFOLIO,12265.12827616567
2021-04-20,PORTFOLIO,12124.104125948288
2021-04-21,PORTFOLIO,12264.626771915251
2021-04-22,PORTFOLIO,12146.446653625078
2021-04-23,PORTFOLIO,12292.72423989126
2021-04-26,PORTFOLIO,12328.362015770665
2021-04-27,PORTFOLIO,12356.92868953177
2021-04-28,PORTFOLIO,12420.651159388502
2021-04-29,PORTFOLIO,12496.41361626285
2021-04-30,PORTFOLIO,12353.54025884658
2021-05-03,PORTFOLIO,12460.373461515379
2021-05-04,PORTFOLIO,12424.221055612206
2021-05-05,PORTFOLIO,12524.002307301897
2021-05-06,PORTFOLIO,12622.50953502525
2021-05-07,PORTFOLIO,12738.379453558226
2021-05-10,PORTFOLIO,12651.044959058352
2021-05-11,PORTFOLIO,12483.527686517511
2021-05-12,PORTFOLIO,12323.052086063335
2021-05-13,PORTFOLIO,12417.176397596515
2021-05-14,PORTFOLIO,12638.897767885095
2021-05-17,PORTFOLIO,12672.435660551731
2021-05-18,PORTFOLIO,12536.93443903387
2021-05-19,PORTFOLIO,12457.098140772243
2021-05-20,PORTFOLIO,12555.186887197076
2021-05-21,PORTFOLIO,12570.060808228416
2021-05-24,PORTFOLIO,12679.889895513477
2021-05-25,PORTFOLIO,12590.428601185256
2021-05-26,PORTFOLIO,12610.489847512234
2021-05-27,PORTFOLIO,12623.879808294765
2021-05-28,PORTFOLIO,12656.716023337076
2021-06-01,PORTFOLIO,12713.250697569067
2021-06-02,PORTFOLIO,12781.125457411901
2021-06-03,PORTFOLIO,12768.606729466293
2021-06-04,PORTFOLIO,12872.937259558197
2021-06-07,PORTFOLIO,12851.352781627877
2021-06-08,PORTFOLIO,12859.613636146774
2021-06-09,PORTFOLIO,12842.092120553494
2021-06-10,PORTFOLIO,12883.69587598237
2021-06-11,PORTFOLIO,12892.768812319504
2021-06-14,PORTFOLIO,12889.024768487336
2021-06-15,PORTFOLIO,12923.249756702548
2021-06-16,PORTFOLIO,12868.329640350497
2021-06-17,PORTFOLIO,12753.336336394232
2021-06-18,PORTFOLIO,12529.425578260782
2021-06-21,PORTFOLIO,12787.539115184698
2021-06-22,PORTFOLIO,12851.242909370614
2021-06-23,PORTFOLIO,12846.695610467079
2021-06-24,PORTFOLIO,12945.490784389945
2021-06-25,PORTFOLIO,13008.312337773576
2021-06-28,PORTFOLIO,12937.78599608314
2021-06-29,PORTFOLIO,12939.165719361863
2021-06-30,PORTFOLIO,12980.333676951297
2021-07-01,PORTFOLIO,13088.006558318782
2021-07-02,PORTFOLIO,13159.09287628297
2021-07-06,PORTFOLIO,13034.868103204884
2021-07-07,PORTFOLIO,13035.976775513462
2021-07-08,PORTFOLIO,12908.432551739663
2021-07-09,PORTFOLIO,13098.031823927253
2021-07-12,PORTFOLIO,13136.306285557012
2021-07-13,PORTFOLIO,13087.405388833684
2021-07-14,PORTFOLIO,13018.063331463505
2021-07-15,PORTFOLIO,12950.81306895564
2021-07-16,PORTFOLIO,12803.190116964828
2021-07-19,PORTFOLIO,12541.155874967058
2021-07-20,PORTFOLIO,12740.677319729593
2021-07-21,PORTFOLIO,12922.812731991782
2021-07-22,PORTFOLIO,12909.20590497384
2021-07-23,PORTFOLIO,12985.947560116027
2021-07-26,PORTFOLIO,13053.466467454915
2021-07-27,PORTFOLIO,13004.207015488593
2021-07-28,PORTFOLIO,13029.41770649461
2021-07-29,PORTFOLIO,13112.456398296103
2021-07-30,PORTFOLIO,13037.93286211177
2021-08-02,PORTFOLIO,13007.845286940003
2021-08-03,PORTFOLIO,13155.642665075296
2021-08-04,PORTFOLIO,13043.505210278028
2021-08-05,PORTFOLIO,13127.434184313779
2021-08-06,PORTFOLIO,13204.542631302278
2021-08-09,PORTFOLIO,13173.635427718242
2021-08-10,PORTFOLIO,13226.030592633824
2021-08-11,PORTFOLIO,13257.835559096147
2021-08-12,PORTFOLIO,13304.058829154446
2021-08-13,PORTFOLIO,13288.781648604983
2021-08-16,PORTFOLIO,13281.433274784855
2021-08-17,PORTFOLIO,13227.425755010263
2021-08-18,PORTFOLIO,13034.112975860628
2021-08-19,PORTFOLIO,12988.467013436564
2021-08-20,PORTFOLIO,13078.98991230067
2021-08-23,PORTFOLIO,13256.278935240101
